Ranking,Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,,,,,,,,,,,,,,
92,Laos,East Asia,"51,389","5,64,568","0,52353",68.00,"0,92255","0,42301","0,28958",,,,,,,,,,,,,,
46,Latvia,Western Europe,"62,345","7,94,337","0,93316",72.00,"0,77177","0,31732","0,13639",,,,,,,,,,,,,,
139,Lebanon,Middle East and North Africa,"27,065","6,43,174","0,35676",72.00,"0,20065","0,16876","0,5003",,,,,,,,,,,,,,
138,Lesotho,Sub-Saharan Africa,"31,862","3,60,103","0,52618",55.00,"0,60601","0,2048","0,14774",,,,,,,,,,,,,,
118,Liberia,Sub-Saharan Africa,"42,686","2,89,078","0,41648",64.00,"0,63225","0,44368","0,12954",,,,,,,,,,,,,,
65,Libya,Middle East and North Africa,"58,663","7,12,751","0,68047",72.00,"0,68538","0,27718","0,35397",,,,,,,,,,,,,,
19,Lithuania,Western Europe,"68,175","8,24,885","0,8992",73.00,"0,61701","0,10937","0,20143",,,,,,,,,,,,,,
8,Luxembourg,Western Europe,"71,219","10,83,799",7792805.00,0.00,"0,36347","0,75188","0,65432",,,,,,,,,,,,,,
120,Madagascar,Sub-Saharan Africa,"42,279","2,93,343","0,50942",65.00,"0,29013","0,4302","0,21427",,,,,,,,,,,,,,
133,Malawi,Sub-Saharan Africa,"3,421","2,88,206","0,25386",66.00,"0,66127","0,33636","0,23615",,,,,,,,,,,,,,
59,Malaysia,Southeast Asia,"59,752","7,68,912","0,70737",71.00,"0,95971","0,56377","0,207",,,,,,,,,,,,,,
119,Mali,Sub-Saharan Africa,"4,232","3,49,171","0,42555",63.00,"0,67842","0,30029","0,1558",,,,,,,,,,,,,,
40,Malta,Western Europe,"63,458","8,535","0,89302",77.00,"0,8421","0,62382","0,21683",,,,,,,,,,,,,,
108,Mauritania,Middle East and North Africa,"45,051","53,457","0,43589",67.00,"0,39683","0,33064","0,34511",,,,,,,,,,,,,,
69,Mauritius,Sub-Saharan Africa,"58,164","7,33,663","0,83994",70.00,"0,74224","0,30632","0,20477",,,,,,,,,,,,,,
25,Mexico,Latin America and Caribbean,"6,678","7,10,455","0,76782",72.00,"0,83642","0,21428","0,22021",,,,,,,,,,,,,,
70,Moldova,Central and Eastern Europe,"58,159","64,721","0,79008",72.00,"0,80485","0,19303","0,7735",,,,,,,,,,,,,,
76,Mongolia,East Asia,"56,962","6,31,951","0,9345",67.00,"0,58008","0,59072","0,961",,,,,,,,,,,,,,
75,Montenegro,Central and Eastern Europe,"5,707","7,33,711","0,81532",73.00,"0,73173","0,27553","0,22978",,,,,,,,,,,,,,
104,Morocco,Middle East and North Africa,"47,947","5,66,892","0,2914",70.00,"0,73101","0,10503","0,14227",,,,,,,,,,,,,,
88,Mozambique,Sub-Saharan Africa,"52,164","26,151","0,54628",60.00,"0,84337",139334.00,"0,3411",,,,,,,,,,,,,,
115,Myanmar,Southeast Asia,"43,545","4,56,719","0,61126",68.00,"0,52172","0,30273",12376.00,,,,,,,,,,,,,,
103,Namibia,Sub-Saharan Africa,"48,317","5,91,607","0,74978",64.00,"0,5441","0,1714","0,10691",,,,,,,,,,,,,,
91,Nepal,South Asia,"51,584","4,50,995","0,61254",69.00,"0,75627","0,52233","0,19981",,,,,,,,,,,,,,
6,Netherlands,Western Europe,"73,194","8,87,942","0,90444",76.00,"0,83986","0,61715","0,64757",,,,,,,,,,,,,,
11,New Zealand,North America and ANZ,"7,292","8,45,752","0,94458",75.00,"0,86357","0,56406","0,835",,,,,,,,,,,,,,
43,Nicaragua,Latin America and Caribbean,"62,839","51,262","0,78144",72.00,"0,91901","0,33206","0,43645",,,,,,,,,,,,,,
106,Niger,Sub-Saharan Africa,"45,563","2,67,622","0,41904",64.00,"0,7118","0,36171","0,25525",,,,,,,,,,,,,,
100,Nigeria,Sub-Saharan Africa,"48,808","4,86,691","0,66531",63.00,"0,65538","0,50252","0,33",,,,,,,,,,,,,,
83,North Macedonia,Central and Eastern Europe,"53,691","68,923","0,78971",72.00,"0,6715","0,48347","0,2544",,,,,,,,,,,,,,
7,Norway,Western Europe,"73,017","9,11,908","0,93815",76.00,"0,96762","0,55922","0,84146",,,,,,,,,,,,,,
105,Pakistan,South Asia,"46,567","4,99,198","0,3714",65.00,"0,62774","0,36035","0,12861",,,,,,,,,,,,,,
39,Panama,Latin America and Caribbean,"63,582","7,95,002","0,8611",74.00,"0,83389","0,15643","0,7394",,,,,,,,,,,,,,
57,Paraguay,Latin America and Caribbean,"59,765","6,53,179","0,87101",72.00,"0,91225","0,32787","0,11354",,,,,,,,,,,,,,
67,Peru,Latin America and Caribbean,"58,409","6,40,313","0,72994",75.00,"0,71218","0,19505","0,4996",,,,,,,,,,,,,,
53,Philippines,Southeast Asia,"6,476","5,75,533","0,7089",68.00,"0,95708","0,24622","0,23652",,,,,,,,,,,,,,
35,Poland,Central and Eastern Europe,"64,415","8,11,814","0,8768",74.00,"0,69503","0,20093","0,30482",,,,,,,,,,,,,,
55,Portugal,Western Europe,"6,296","87,075","0,84609",76.00,"0,87646","0,1164","0,6145",,,,,,,,,,,,,,
32,Romania,Central and Eastern Europe,"64,912","7,93,747","0,76443",73.00,"0,83","0,10157","0,1098",,,,,,,,,,,,,,
71,Russia,Commonwealth of Independent States,"57,853","7,67,194","0,83586",71.00,"0,63875","0,34384","0,20957",,,,,,,,,,,,,,
28,Saudi Arabia,Middle East and North Africa,"65,935","8,60,725","0,84171",71.00,"0,91172","0,28415","0,32685",,,,,,,,,,,,,,
97,Senegal,Sub-Saharan Africa,"49,686","43,324","0,46438",67.00,"0,7028","0,37926","0,11943",,,,,,,,,,,,,,
37,Serbia,Central and Eastern Europe,"64,108","7,18,435","0,86079",73.00,"0,76822","0,49932","0,17498",,,,,,,,,,,,,,
137,Sierra Leone,Sub-Saharan Africa,"32,452","35,663","0,35012",63.00,"0,54328","0,45249","0,9268",,,,,,,,,,,,,,
30,Singapore,Southeast Asia,"65,228","9,89,526","0,84207",78.00,"0,86056","0,4199","0,2134",,,,,,,,,,,,,,
45,Slovakia,Central and Eastern Europe,"62,571","7,96,789","0,95284",74.00,"0,65609","0,23964","0,10071",,,,,,,,,,,,,,
21,Slovenia,Central and Eastern Europe,"67,433","83,419","0,92928",76.00,"0,91448","0,39295","0,22707",,,,,,,,,,,,,,
82,South Africa,Sub-Saharan Africa,"5,422","6,48,958","0,84704",65.00,"0,62153","0,1957","0,5909",,,,,,,,,,,,,,
52,South Korea,East Asia,"6,579","8,47,919","0,72875",78.00,"0,64248","0,31515","0,27461",,,,,,,,,,,,,,
36,Spain,Western Europe,"64,209","8,25,122","0,90975",77.00,"0,71697","0,29647","0,30803",,,,,,,,,,,,,,
125,Sri Lanka,South Asia,"38,981","6,35,814","0,72914",73.00,"0,67536","0,35942","0,5363",,,,,,,,,,,,,,
